Grid_ID,Ag/NonAg_m,agri_class
735495,1.000000000000000,1
254331,1.000000000000000,1
285365,1.000000000000000,1
491853,1.000000000000000,1
395435,1.000000000000000,1
333570,1.000000000000000,1
193720,1.000000000000000,1
792732,1.000000000000000,1
2909,0.926400000000000,1
522578,0.700800000000000,1
915322,1.000000000000000,1
890757,1.000000000000000,1
711879,1.000000000000000,1
358588,1.000000000000000,1
403481,1.000000000000000,1
950986,1.000000000000000,1
393547,1.000000000000000,1
719706,1.000000000000000,1
387202,1.000000000000000,1
912257,1.000000000000000,1
717591,1.000000000000000,1
859852,0.995200000000000,1
930593,0.692800000000000,1
64013,0.968000000000000,1
858770,1.000000000000000,1
969507,1.000000000000000,1
535150,1.000000000000000,1
247125,1.000000000000000,1
110379,1.000000000000000,1
393348,1.000000000000000,1
736604,1.000000000000000,1
792987,1.000000000000000,1
822984,1.000000000000000,1
693098,1.000000000000000,1
76734,1.000000000000000,1
482317,1.000000000000000,1
365199,1.000000000000000,1
813781,1.000000000000000,1
61188,1.000000000000000,1
902515,1.000000000000000,1
180009,1.000000000000000,1
215313,0.590400000000000,1
511933,0.809600000000000,1
763682,1.000000000000000,1
353532,1.000000000000000,1
881389,0.923200000000000,1
9723,0.817600000000000,1
757563,0.337600000000000,0
338792,0.480000000000000,0
214482,0.910400000000000,1
297600,0.993600000000000,1
874467,1.000000000000000,1
236123,1.000000000000000,1
694082,1.000000000000000,1
695813,1.000000000000000,1
102917,1.000000000000000,1
218993,0.892800000000000,1
48048,0.955200000000000,1
936474,1.000000000000000,1
540770,1.000000000000000,1
313117,1.000000000000000,1
865906,1.000000000000000,1
382707,1.000000000000000,1
813742,1.000000000000000,1
524976,1.000000000000000,1
143116,1.000000000000000,1
65151,1.000000000000000,1
752642,0.892800000000000,1
718239,1.000000000000000,1
521264,0.529600000000000,1
953960,0.582400000000000,1
927096,0.790400000000000,1
794058,0.971200000000000,1
527956,1.000000000000000,1
604354,1.000000000000000,1
420960,0.539200000000000,1
380394,1.000000000000000,1
103524,1.000000000000000,1
121304,1.000000000000000,1
403760,1.000000000000000,1
268924,1.000000000000000,1
835526,1.000000000000000,1
459607,1.000000000000000,1
171915,1.000000000000000,1
639543,1.000000000000000,1
90788,1.000000000000000,1
299875,1.000000000000000,1
839880,1.000000000000000,1
752904,1.000000000000000,1
586588,1.000000000000000,1
740109,1.000000000000000,1
576616,1.000000000000000,1
485566,1.000000000000000,1
298421,1.000000000000000,1
980507,0.944000000000000,1
227538,1.000000000000000,1
457552,1.000000000000000,1
583242,1.000000000000000,1
264515,1.000000000000000,1
163972,1.000000000000000,1
636465,1.000000000000000,1
198602,1.000000000000000,1
152806,1.000000000000000,1
381951,1.000000000000000,1
416468,1.000000000000000,1
512253,1.000000000000000,1
117042,1.000000000000000,1
321261,1.000000000000000,1
551949,1.000000000000000,1
148495,1.000000000000000,1
632656,1.000000000000000,1
627993,1.000000000000000,1
653924,1.000000000000000,1
823886,1.000000000000000,1
189804,0.683200000000000,1
567092,1.000000000000000,1
914226,1.000000000000000,1
977049,1.000000000000000,1
508057,1.000000000000000,1
46633,1.000000000000000,1
984610,1.000000000000000,1
461107,1.000000000000000,1
912451,1.000000000000000,1
32148,1.000000000000000,1
555121,1.000000000000000,1
343172,1.000000000000000,1
