agri_class,DEM_mean,Slope_mean,sand_pct,clay_pct,bd_gcm3,SOC_mean
1,227.78125,1.859622175805271,37.94,27.01,1.51,32.344650418145434
1,228.26388888888889,2.302418222857846,38.11,27.67,1.52,32.0
1,228.109375,2.0179782230407,38.18,27.51,1.52,31.89078536309165
1,227.125,2.133558943867683,38.22,27.27,1.52,30.982746244314324
1,227.609375,1.691516394726932,38.14,26.55,1.53,30.0
1,227.66666666666663,2.489721231162548,37.99,26.49,1.53,29.999999999999996
1,227.71875,2.107123197056353,37.81,26.61,1.53,30.662586583842764
1,228.65625,1.90473838057369,37.59,27.18,1.5,30.179022640365236
1,167.63888888888889,1.556533725261688,38.35,27.85,1.5,30.249411704009745
1,230.73611111111111,1.756419274542067,37.59,28.86,1.5,32.0
1,229.421875,1.455878805369139,37.21,28.26,1.5,31.0
1,228.140625,2.037340572103858,37.19,27.89,1.5,29.52297641829676
1,228.28125,1.806042377837002,37.24,27.87,1.49,29.81741160397804
1,227.640625,1.56157623976469,37.45,28.13,1.5,31.195337637936877
1,230.734375,1.924102041870356,37.81,26.14,1.52,30.62005028466145
1,115.51388888888889,2.546337957735415,37.53,26.32,1.53,31.939878379159392
1,114.40625,1.314392497142156,37.11,26.1,1.53,32.0
1,228.984375,2.242965647019446,40.58,25.72,1.52,31.082513745974133
1,227.11111111111111,2.585863538914257,40.3,26.03,1.52,31.870965515439185
1,228.48611111111111,2.053610362112522,40.49,26.58,1.52,30.038045855844416
1,229.140625,2.007224234752357,38.96,25.12,1.52,31.680471910525338
1,229.6875,2.274058558046818,37.28,24.48,1.52,30.75687194472779
1,225.97222222222223,1.975715340839492,37.53,25.56,1.51,31.610148025287064
1,225.4375,1.994265832938254,37.7,25.32,1.51,31.674602745167885
1,224.75,1.507214262253708,37.6,24.41,1.52,29.627222133090672
1,224.515625,2.248711016029119,37.34,24.63,1.52,28.842547859249976
1,223.71875,1.525162172503769,37.66,24.83,1.51,30.405519190007222
1,221.75,1.964156474918127,37.34,28.52,1.5,31.77935247096212
1,221.421875,1.650165537372231,37.72,23.9,1.51,29.45801768741429
1,222.328125,1.333788361400366,36.8,25.07,1.51,27.860180636536835
1,227.375,1.754220970802837,39.11,27.76,1.52,33.10853831217029
1,227.71604938271605,2.124894139943299,39.61,28.17,1.52,32.4540948981
1,226.34722222222223,2.533103571997748,38.83,27.86,1.51,30.612255927898204
1,227.50617283950615,1.652756983851209,38.92,27.77,1.5,30.0
1,227.32098765432096,2.068486030454989,38.5,27.23,1.51,31.81105872029634
1,229.33333333333331,2.432831336226728,37.86,27.41,1.51,33.30199976386305
1,226.29166666666663,2.093501997490724,38.32,27.64,1.52,32.79828874872333
1,225.61111111111111,2.248575633598699,38.04,27.68,1.52,31.89380593101898
1,228.9135802469136,1.948186225361294,38.07,27.48,1.52,31.0
1,227.43055555555557,1.875882593293985,37.69,26.96,1.53,31.000000000000004
1,226.81944444444443,2.025035043557485,37.91,26.82,1.53,30.620876432093155
1,226.84722222222223,2.485711369249556,38.35,26.23,1.53,30.4677710083714
1,229.25,1.557285716964139,37.26,28.52,1.5,32.21861196354924
1,230.04166666666663,1.660023686786493,37.66,27.85,1.5,30.982673883453725
1,228.56944444444443,2.039856055544482,37.18,27.67,1.51,31.139318439359517
1,229.58333333333331,1.897481732070446,37.21,26.69,1.51,30.584293440450427
1,229.8641975308642,1.972583828149018,37.77,26.56,1.52,30.63983750977712
1,229.16666666666663,2.620517519613107,37.09,26.2,1.53,32.0
1,184.41975308641972,1.391134006472734,37.2,25.83,1.52,30.6949964153183
1,213.58333333333331,2.872754078419482,40.17,24.05,1.52,30.0
1,227.06944444444443,1.824641668962108,40.4,24.06,1.52,29.67090124553098
1,228.2716049382716,1.606138348579407,40.26,24.88,1.52,29.966102829201525
1,229.375,2.31288725634416,40.52,25.38,1.52,30.519520657801387
1,228.74074074074076,1.903575822159096,40.49,25.46,1.51,31.682955157154815
1,228.27777777777777,2.104827048877875,40.35,26.14,1.52,32.350520937392965
1,228.06944444444443,1.611347467535072,40.4,25.66,1.52,31.000000000000004
1,230.09722222222223,1.713166101111306,40.78,26.4,1.51,30.34689037008426
1,228.9135802469136,1.707004916667938,37.42,24.3,1.52,30.375801747107914
1,207.15277777777777,1.357121262167181,37.58,25.35,1.52,31.000000000000004
1,226.17283950617283,1.880834198292391,37.56,25.41,1.52,30.776089107608502
1,223.76388888888889,1.967418383393023,37.24,24.87,1.52,28.79244057184692
1,224.38888888888889,1.675632220175531,37.44,25.3,1.52,30.25259677587496
1,223.20833333333331,1.661511994070477,38.75,26.0,1.51,29.717814174235535
1,222.3703703703704,2.076534926891327,37.48,28.76,1.51,29.100638219720636
1,222.55555555555557,1.538638569414616,37.27,28.93,1.5,29.645430943441816
1,221.3827160493827,1.465866501684542,37.26,29.11,1.5,30.52869737877875
1,222.77777777777777,1.697030037641525,37.39,28.54,1.5,31.64414574995535
1,222.40277777777777,1.725961215794086,37.65,28.1,1.5,31.41965825762438
1,223.01234567901236,1.667414635787775,38.5,27.43,1.5,31.000000000000004
1,222.9135802469136,1.638658162252403,38.22,24.02,1.5,28.711353310268223
1,221.80555555555557,1.599814929068089,37.89,24.09,1.51,29.445689994128458
1,221.31944444444443,1.976547646853659,37.65,23.93,1.51,29.371310579352247
1,223.12345679012347,1.97556871249352,37.62,24.08,1.51,28.334583681142355
1,221.875,1.979459610932014,36.89,24.75,1.5,26.610024907499707
1,226.9375,1.515481688578924,39.38,27.57,1.52,32.781612292842176
1,228.15625,2.206307791173458,39.81,27.31,1.52,33.57670681126416
1,227.80555555555557,1.927136989931266,39.91,27.85,1.51,32.99999999999999
1,227.5625,1.812679720111191,38.52,27.21,1.51,30.97592635749391
1,227.578125,2.07973213866353,38.69,27.43,1.51,31.0
1,229.328125,1.447181559167802,38.01,27.7,1.5,32.77861036713504
1,227.16666666666663,2.246540029843648,38.08,26.6,1.53,30.639757443381175
1,228.15625,1.907274241559207,37.97,26.22,1.53,30.68984428876307
1,227.875,1.735433662931124,37.84,26.18,1.53,30.892606807454943
1,228.59375,2.072942351922393,37.72,26.87,1.5,30.471174561099705
1,226.859375,2.376886404119432,37.6,27.46,1.5,31.0
1,228.34375,1.474081302061677,38.43,28.15,1.5,32.046428716740685
1,229.15277777777777,2.243856161004967,38.31,28.28,1.5,32.18227748327451
1,232.21875,2.397271059453487,37.88,28.26,1.5,32.99036536105451
1,228.78125,1.502198207192123,38.01,27.13,1.5,30.102590028628004
1,230.96875,1.759195378050208,37.89,27.28,1.51,30.0862526751378
1,229.26388888888889,2.273357347481781,37.48,27.54,1.51,30.35349863163343
1,231.546875,1.976929191499949,37.74,26.78,1.53,31.607494518906304
1,229.125,2.213208519853652,37.2,26.5,1.53,31.467789621109446
1,229.81944444444443,1.884427004390293,36.99,26.12,1.52,30.35026197736824
1,228.46875,1.79965216293931,40.08,24.58,1.52,30.607494518908375
